"Word"|"synonyms"|"antonyms"|"related_to"|"origin"
"was within one's control"|"commit,manage,may,make out,take care of,be capable of,be equal to,be up to,can do,could,cut the mustard,have it made,make it,make the grade,be within one's area,be within one's control,lie in one's power"|"hire,employ,cannot"|"can"|""
"was within ones area"|"commit,manage,may,make out,take care of,be capable of,be equal to,be up to,can do,could,cut the mustard,have it made,make it,make the grade,be within one's area,be within one's control,lie in one's power"|"hire,employ,cannot"|"can"|""
"was within ones control"|"commit,manage,may,make out,take care of,be capable of,be equal to,be up to,can do,could,cut the mustard,have it made,make it,make the grade,be within one's area,be within one's control,lie in one's power"|"hire,employ,cannot"|"can"|""
"was within view"|"materialize,emerge,develop,show,come out,surface,turn up,turn out,occur,arrive,come,show up,present,loom,attend,recur,spring,expose,rise,arise,issue,check in,drop in,pop up,crop up,be present,be within view,blow in,bob up,break through,breeze in,clock in,come forth,come into view,come to light,make the scene,pop in,punch in,punch the clock,ring in,roll in,time in"|"disappear,conceal,hide,leave,abandon,go,miss,depart,be real"|"appear"|""
"was without"|"need,require,want,miss,minus,out,be deficient in,be short of,be without,have need of,hurting for,not got,too little too late"|"dislike,have"|"lack,need,want"|""
"was witness"|"notice,attend,watch,mark,note,see,spy,read,spot,perceive,pipe,sight,behold,view,take in,eyeball,be a witness,be on hand,be on the scene,be present,flash on,get a load of,look on,pick up on"|"ignore,participate,deny,refute,neglect,overlook"|"witness,witness"|""
"was worse for wear"|"decline,sink,ebb,fall apart,worsen,disintegrate,lessen,lower,crumble,undermine,regress,slide,degrade,fade,fail,languish,depreciate,weaken,retrogress,pervert,debilitate,impair,corrupt,rot,skid,debase,injure,descend,deprave,vitiate,mar,break,flag,spoil,adulterate,lapse,corrode,retrograde,alloy,decompose,go to pieces,be worse for wear,become worse,disimprove,go downhill,go to pot,go to the dogs,hit the skids,lose it,lose quality,wear away"|"improve,increase,grow,compliment,laud,praise,aid,assist,mend,cleanse,purify,clean,heal,put together,construct,rise,strengthen,raise,elevate,approve,cure,help,build,clear,fix,join,develop,get better"|"deteriorate"|""
"was worsted"|"decline,drop,fall,miss,succumb,yield,be humbled,be outdistanced,be sunk,be taken to cleaners,be the loser,be worsted,come up short,drop a bundle,kiss goodbye,lose out,suffer defeat,take a beating,take the count,take the heat"|"ascend,achieve,confront,rise,go up,keep,maintain,succeed,win,face,meet,hold on to"|"lose"|""
"was worth"|"sell,earn,get,pay,acquire,produce,bring,cost,yield,fetch,accrue,bear,gain,gross,make,realize,return,be worth"|"surrender,refuse,decrease,lose,fail,leave"|"bring in,cost,rank"|""
"was worthless"|"rub,consume,dwindle,jade,tax,crumble,impair,weather,decrease,gall,decline,tire,decay,scrape,abrade,fade,waste,shrink,deteriorate,exhaust,erode,scuff,weary,graze,fatigue,diminish,fray,chafe,drain,overwork,grind,cut down,wear out,overuse,be worthless,become threadbare,become worn,go to seed,scrape off,use up,wash away,wear thin"|"construct,enlarge,grow,increase,enliven,improve,activate,energize,invigorate,refresh,disrobe,freshen,delight,refuse,reject,build,develop,expand,extend,save,make happy,strengthen,take off,rebuild,cheer,please"|"wear"|""
"was worthwhile"|"repay,serve,benefit,be worthwhile"|"take,earn,lose"|"pay"|""
"was worthy"|"deserve,warrant,justify,rate,incur,earn,be in line for,be worthy,get what is coming,have a claim,have a right,have coming,get one's comeuppance,get one's due,get one's just desserts"|"disqualify,fail,lose"|"merit,rate"|""
"was worthy of"|"earn,get,win,merit,gain,warrant,justify,rate,procure,demand,be in line for,be worthy of,get comeuppance,get what is coming to one,have it coming,have the right to,lay claim to,be given one's due"|"forfeit,lose,spend,fail,miss,pass"|"deserve,earn"|""
"was wounded"|"go through,get,experience,hurt,endure,undergo,deteriorate,brave,pain,droop,sicken,agonize,writhe,grieve,ail,flag,ache,smart,languish,fall off,be affected,be at disadvantage,be convulsed,be handicapped,be impaired,be racked,be wounded,complain of,feel wretched,have a bad time"|"surrender,calm,soothe,assuage,aid,alleviate,assist,comfort,disallow,refuse,reject,yield,please,help,rise,strengthen,relieve,fight"|"suffer"|""
"was wrong"|"overrate,miscalculate,misconstrue,misunderstand,underestimate,err,prejudge,misconceive,suppose,underrate,presume,presuppose,stumble,misapprehend,mistake,misreckon,overestimate,dogmatize,bark up wrong tree,be misled,be overcritical,be partial,be unfair,be wrong,come to hasty conclusion,drop the ball,miscomprehend,misconjecture,misdeem,miss by a mile,misthink,put foot in"|"disbelieve,get,perceive,understand,comprehend,figure,judge well"|"misjudge,mistake"|""
"wash"|"washing,cleaning,bathe,scrub,ablution,shower,rinse,shampoo,laundering,cleansing,dirty clothes"|"dry,dehydrate,ignore,dirty"|"bath,brush,clean,coat,color,color"|"wash O.E. wascan, wæscan, from P.Gmc. *watskanan (cf. O.N. vaska, M.Du. wasscen, Du. wassen, Ger. waschen), from stem *wat-, the source of water. Used mainly of clothes in O.E. (the principal verb for washing the body, dishes, etc. being þwean). Verbal phrase wash out ""obliterate, cancel"" is attested from 1580; hence colloquial sense of ""to call off (an event) due to bad weather, etc.;"" the noun sense of ""disappointing failure"" is recorded from 1902. Washed-out ""faded"" is from 1837; washed up is 1923 theater slang, from notion of washing up one's hands at the end of a job."
"wash and wear"|"dry goods,ready-to-wear,non-iron clothes,off-the-rack clothes,permanent press clothes,store-bought clothes"|""|"wash-and-wear"|""
"wash away"|"break up,sink,decompose,disband,decay,dismantle,splinter,shatter,crumble,wither,degenerate,rot,sever,descend,deliquesce,pulverize,disconnect,divide,decline,worsen,atomize,separate,disorganize,taint,turn,molder,disperse,spoil,disunite,putrefy,detach,wash out,break down,come apart,dilapidate,break apart,disimprove,fade away,fall to pieces,take apart,turn to dust"|"grow,increase,combine,improve,put together,unite,mend,connect,couple,link,meld,rise,strengthen,develop,join,build,flourish,fix,attach,collect,gather"|"disintegrate,leach,wear"|"wash late O.E. wæsc ""act of washing"" (see wash (v.)). Meaning ""clothes set aside to be washed"" is attested from 1789; meaning ""thin coat of paint"" is recorded from 1698; sense of ""land alternately covered and exposed by the sea"" is recorded from c.1440."
"wash down"|"inhale,consume,sip,drain,gulp,guzzle,suck,quaff,toast,sponge,gargle,irrigate,slosh,swill,imbibe,absorb,swig,indulge,tipple,thirst,down,sop,booze,dissipate,sup,swallow,lap,nip,belt,put away,tank up,slurp,hit the bottle,liquor up,partake of,soak up,toss off,wet whistle"|"abstain"|"drink,swallow,sup,tank up"|"wash late O.E. wæsc ""act of washing"" (see wash (v.)). Meaning ""clothes set aside to be washed"" is attested from 1789; meaning ""thin coat of paint"" is recorded from 1698; sense of ""land alternately covered and exposed by the sea"" is recorded from c.1440."
"wash hands of"|"quit,drop out,pull out,dump,ditch,discontinue,stop,leave,withdraw,vacate,discard,surrender,desert,screw,abdicate,drop,yield,duck,dust,back out,bail out,bow out,chicken out,cop out,cut loose,opt out,throw over,walk out on,flake out,fly the coop,give up the ship,kiss goodbye,leg it,let go,run out on,ship out,storm out,take a powder,take a walk"|"remain,persevere,cherish,assert,uphold,come,stay,continue,begin,start,hold,keep,maintain,advance,go,allow,defend,pursue,retain,support,adopt,favor"|"abandon,disavow,disclaim,renounce,resign,forsake"|"hand O.E. hond, from P.Gmc. *khanduz (cf. O.S., O.Fris., Du., Ger. hand, O.N. hönd, Goth. handus). The original O.E. plural handa was superseded in M.E. by handen, later hands. Meaning ""person who does something with his hands"" is from 1590, hence ""hired workman"" (1655) and ""sailor in a ship's crew"" (1669). Clock and watch sense is from 1575. Meaning ""round of applause"" is from 1838. The linear measure of 4 inches (originally 3) is from 1561, now used only in giving the height of horses. The meaning ""playing cards held in one player's hand"" is from 1630; that of ""a round at a card game"" is  ...from 1622. The verb is from 1642. First hand, second hand, etc. (1439) are from the notion of something being passed down from hand to hand. Out of hand (1597) is opposite of in hand ""under control"" (c.1200). Hand over fist (1825) is suggestive of sailors and fishermen hauling in nets. Hands-on (adj.) is first recorded 1969; hands-off (adj.) is from 1902. Hand-jive is from 1958. Hand job is 1940s; hand-me-down as a modifier is first recorded 1874. To win something hands down (1867) is from horse racing, from a jockey's gesture of letting the reins go loose in an easy victory. To hand it to (someone) ""acknowledge someone's ability"" is slang from c.1906. Handy is from c.1310; handful was in O.E. Phrase on the one hand ... on the other hand is recorded from 1638, a fig. use of the physical sense of hand in reference to position on one side or the other side of the body (as in the lefthand side), which goes back to O.E. Hands up! as a command from a policeman, robber, etc., is from 1873. Hand-to-mouth is from 1509."
"wash one hands of"|"relinquish,quit,spurn,renounce,repudiate,forgo,forswear,disown,jettison,disclaim,abdicate,jilt,yield,leave,resign,surrender,desert,cast off,throw over,walk out on,set aside,drift away,give up,have done with,kiss goodbye,leave flat,leave high and dry,run out on,show the door,take the oath,change one's tune,wash one's hands of"|"claim,go back,revert,keep,continue,allow,approve,hold,maintain,rediscover,return"|"forsake,give in,repudiate"|"hand O.E. hond, from P.Gmc. *khanduz (cf. O.S., O.Fris., Du., Ger. hand, O.N. hönd, Goth. handus). The original O.E. plural handa was superseded in M.E. by handen, later hands. Meaning ""person who does something with his hands"" is from 1590, hence ""hired workman"" (1655) and ""sailor in a ship's crew"" (1669). Clock and watch sense is from 1575. Meaning ""round of applause"" is from 1838. The linear measure of 4 inches (originally 3) is from 1561, now used only in giving the height of horses. The meaning ""playing cards held in one player's hand"" is from 1630; that of ""a round at a card game"" is  ...from 1622. The verb is from 1642. First hand, second hand, etc. (1439) are from the notion of something being passed down from hand to hand. Out of hand (1597) is opposite of in hand ""under control"" (c.1200). Hand over fist (1825) is suggestive of sailors and fishermen hauling in nets. Hands-on (adj.) is first recorded 1969; hands-off (adj.) is from 1902. Hand-jive is from 1958. Hand job is 1940s; hand-me-down as a modifier is first recorded 1874. To win something hands down (1867) is from horse racing, from a jockey's gesture of letting the reins go loose in an easy victory. To hand it to (someone) ""acknowledge someone's ability"" is slang from c.1906. Handy is from c.1310; handful was in O.E. Phrase on the one hand ... on the other hand is recorded from 1638, a fig. use of the physical sense of hand in reference to position on one side or the other side of the body (as in the lefthand side), which goes back to O.E. Hands up! as a command from a policeman, robber, etc., is from 1873. Hand-to-mouth is from 1509."
"wash one's hands of"|"relinquish,quit,spurn,renounce,repudiate,forgo,forswear,disown,jettison,disclaim,abdicate,jilt,yield,leave,resign,surrender,desert,cast off,throw over,walk out on,set aside,drift away,give up,have done with,kiss goodbye,leave flat,leave high and dry,run out on,show the door,take the oath,change one's tune"|"claim,go back,revert,keep,continue,allow,approve,hold,maintain,rediscover,return"|"forsake,give in,repudiate"|"hand O.E. hond, from P.Gmc. *khanduz (cf. O.S., O.Fris., Du., Ger. hand, O.N. hönd, Goth. handus). The original O.E. plural handa was superseded in M.E. by handen, later hands. Meaning ""person who does something with his hands"" is from 1590, hence ""hired workman"" (1655) and ""sailor in a ship's crew"" (1669). Clock and watch sense is from 1575. Meaning ""round of applause"" is from 1838. The linear measure of 4 inches (originally 3) is from 1561, now used only in giving the height of horses. The meaning ""playing cards held in one player's hand"" is from 1630; that of ""a round at a card game"" is  ...from 1622. The verb is from 1642. First hand, second hand, etc. (1439) are from the notion of something being passed down from hand to hand. Out of hand (1597) is opposite of in hand ""under control"" (c.1200). Hand over fist (1825) is suggestive of sailors and fishermen hauling in nets. Hands-on (adj.) is first recorded 1969; hands-off (adj.) is from 1902. Hand-jive is from 1958. Hand job is 1940s; hand-me-down as a modifier is first recorded 1874. To win something hands down (1867) is from horse racing, from a jockey's gesture of letting the reins go loose in an easy victory. To hand it to (someone) ""acknowledge someone's ability"" is slang from c.1906. Handy is from c.1310; handful was in O.E. Phrase on the one hand ... on the other hand is recorded from 1638, a fig. use of the physical sense of hand in reference to position on one side or the other side of the body (as in the lefthand side), which goes back to O.E. Hands up! as a command from a policeman, robber, etc., is from 1873. Hand-to-mouth is from 1509."
"wash ones hands of"|"relinquish,quit,spurn,renounce,repudiate,forgo,forswear,disown,jettison,disclaim,abdicate,jilt,yield,leave,resign,surrender,desert,cast off,throw over,walk out on,set aside,drift away,give up,have done with,kiss goodbye,leave flat,leave high and dry,run out on,show the door,take the oath,change one's tune,wash one's hands of"|"claim,go back,revert,keep,continue,allow,approve,hold,maintain,rediscover,return"|"forsake,give in,repudiate"|"hand O.E. hond, from P.Gmc. *khanduz (cf. O.S., O.Fris., Du., Ger. hand, O.N. hönd, Goth. handus). The original O.E. plural handa was superseded in M.E. by handen, later hands. Meaning ""person who does something with his hands"" is from 1590, hence ""hired workman"" (1655) and ""sailor in a ship's crew"" (1669). Clock and watch sense is from 1575. Meaning ""round of applause"" is from 1838. The linear measure of 4 inches (originally 3) is from 1561, now used only in giving the height of horses. The meaning ""playing cards held in one player's hand"" is from 1630; that of ""a round at a card game"" is  ...from 1622. The verb is from 1642. First hand, second hand, etc. (1439) are from the notion of something being passed down from hand to hand. Out of hand (1597) is opposite of in hand ""under control"" (c.1200). Hand over fist (1825) is suggestive of sailors and fishermen hauling in nets. Hands-on (adj.) is first recorded 1969; hands-off (adj.) is from 1902. Hand-jive is from 1958. Hand job is 1940s; hand-me-down as a modifier is first recorded 1874. To win something hands down (1867) is from horse racing, from a jockey's gesture of letting the reins go loose in an easy victory. To hand it to (someone) ""acknowledge someone's ability"" is slang from c.1906. Handy is from c.1310; handful was in O.E. Phrase on the one hand ... on the other hand is recorded from 1638, a fig. use of the physical sense of hand in reference to position on one side or the other side of the body (as in the lefthand side), which goes back to O.E. Hands up! as a command from a policeman, robber, etc., is from 1873. Hand-to-mouth is from 1509."
